,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,Cable Connection,Assessment Number
14962,No,No,Yes,Yes,No,No,No,1086315276
14963,No,No,Yes,Yes,No,No,No,1086315277
14964,No,No,Yes,Yes,No,No,No,1086315280
14965,No,No,Yes,Yes,No,No,No,1086315281
14966,No,No,Yes,Yes,No,No,No,1086315286
14967,No,No,Yes,Yes,No,No,No,1086315288
14968,No,No,Yes,Yes,No,No,No,1086315293
14969,No,No,Yes,Yes,No,No,No,1086315306
14970,No,No,Yes,Yes,Yes,No,No,1086315342
14971,No,No,Yes,Yes,No,No,No,1086315364
14972,No,No,Yes,Yes,No,No,No,1086315406
14973,No,No,Yes,Yes,No,No,No,1086315420
14974,No,No,Yes,Yes,No,No,No,1086315439
14975,No,No,Yes,Yes,No,No,No,1086315448
14976,No,No,Yes,Yes,No,No,No,1086315510
14977,No,No,Yes,Yes,No,No,No,1086315555
14978,No,No,Yes,Yes,No,No,No,1086315708
14979,No,No,Yes,Yes,No,No,No,1086315645
14980,No,No,Yes,Yes,No,No,No,1086315650
14981,No,No,Yes,Yes,No,No,No,1086315642
14982,No,No,Yes,Yes,No,No,No,1086315670
14983,No,No,Yes,Yes,No,No,No,1086315699
14984,No,No,Yes,Yes,No,No,No,1086315711
14985,No,No,Yes,Yes,No,No,No,1086315741
14986,No,No,Yes,Yes,No,No,No,1086315785
14987,No,No,Yes,Yes,No,No,No,1086315798
14988,No,No,Yes,Yes,No,No,No,1086315820
14989,No,No,Yes,Yes,No,No,No,1086315821
14990,No,No,Yes,Yes,No,No,No,1086316585
14991,No,No,Yes,Yes,No,No,No,1086316950
14992,No,No,Yes,Yes,No,No,No,1086316951
14993,No,No,Yes,Yes,No,No,No,1086316973
14994,No,No,Yes,Yes,No,No,No,1086316974
14995,No,No,Yes,Yes,No,No,No,1086317044
14996,No,No,Yes,Yes,No,No,No,1086317123
14997,No,No,Yes,Yes,No,No,No,1086317133
14998,No,No,Yes,Yes,No,No,No,1086317510
14999,No,No,Yes,Yes,No,No,No,1086317523
15000,No,No,Yes,Yes,No,No,No,1086317524
15001,No,No,Yes,Yes,No,No,No,1086317531
15002,No,No,Yes,Yes,No,No,No,1086317583
15003,No,No,Yes,Yes,No,No,No,1086317654
15004,No,No,Yes,Yes,No,No,No,1086317655
15005,No,No,Yes,Yes,No,No,No,1086317661
15006,No,No,Yes,Yes,No,No,No,1086317674
15007,No,No,Yes,Yes,No,No,No,1086317706
15008,No,No,Yes,Yes,No,No,No,1086317716
15009,No,No,Yes,Yes,No,No,No,1086317750
15010,No,No,Yes,Yes,No,No,No,1086317751
15011,No,No,Yes,Yes,No,No,No,1086317752
15012,No,No,Yes,Yes,No,No,No,1086317910
15013,No,No,Yes,Yes,No,No,No,1086317969
15014,No,No,Yes,Yes,No,No,No,1086317976
15015,No,No,Yes,Yes,No,No,No,1086318002
15016,No,No,Yes,Yes,No,No,No,1086318041
15017,No,No,Yes,Yes,No,No,No,1086318066
15018,No,No,Yes,Yes,No,No,No,1086318068
15019,No,No,Yes,Yes,No,No,No,1086318128
15020,No,No,Yes,Yes,No,No,No,1086318142
15021,No,No,Yes,Yes,No,No,No,1086318145
15022,No,No,Yes,Yes,No,No,No,1086318168
15023,No,No,Yes,Yes,No,No,No,1086318170
15024,No,No,Yes,Yes,No,No,No,1086318186
15025,No,No,Yes,Yes,No,No,No,1086318210
15026,No,No,Yes,Yes,No,No,No,1086318211
15027,No,No,Yes,Yes,No,No,No,1086318271
15028,No,No,Yes,Yes,No,No,No,1086318272
15029,No,No,Yes,Yes,No,No,No,1086318316
15030,No,No,Yes,Yes,No,No,No,1086318743
15031,No,No,Yes,Yes,No,No,No,1086318864
15032,No,No,Yes,Yes,No,No,No,1086318870
15033,No,No,Yes,Yes,No,No,No,1086318892
15034,No,No,Yes,Yes,No,No,No,1086318894
15035,No,No,Yes,Yes,No,No,No,1086318901
15036,No,No,Yes,Yes,No,No,No,1086318907
15037,No,No,Yes,Yes,No,No,No,1086318918
15038,No,No,Yes,Yes,No,No,No,1086318920
15039,No,No,Yes,Yes,No,No,No,1086318925
15040,No,No,Yes,Yes,No,No,No,1086318931
15041,No,No,Yes,Yes,No,No,No,1086318962
15042,No,No,Yes,Yes,No,No,No,1086318967
15043,No,No,Yes,Yes,No,No,No,1086319010
15044,No,No,Yes,Yes,No,No,No,1086319048
15045,No,No,Yes,Yes,No,No,No,1086319184
15046,No,No,Yes,Yes,No,No,No,1086319254
15047,No,No,Yes,Yes,No,No,No,1086319300
15048,No,No,Yes,Yes,No,No,No,1086319336
15049,No,No,Yes,Yes,No,No,No,1086319355
15050,No,No,Yes,Yes,No,No,No,1086319357
15051,No,No,Yes,Yes,No,No,No,1086319358
15052,No,No,Yes,Yes,No,No,No,1086319360
15053,No,No,Yes,Yes,No,No,No,1086319363
15054,No,No,Yes,Yes,No,No,No,1086319364
15055,No,No,Yes,Yes,No,No,No,1086319365
15056,No,No,Yes,Yes,No,No,No,1086319367
15057,No,No,Yes,Yes,No,No,No,1086319381
15058,No,No,Yes,Yes,No,No,No,1086319382
15059,No,No,Yes,Yes,No,No,No,1086319384
15060,No,No,Yes,Yes,No,No,No,1086319387
15061,No,No,Yes,Yes,No,No,No,1086319465
15062,No,No,Yes,Yes,No,No,No,1086319476
15063,No,No,Yes,Yes,No,No,No,1086319484
15064,No,No,Yes,Yes,No,No,No,1086319555
