,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,cable connection,Assessment Number
0,No,No,Yes,Yes,No,No,No,1086282458
0,No,No,Yes,Yes,No,No,No,1086282459
0,No,No,Yes,Yes,No,No,No,1086282725
0,No,No,Yes,Yes,No,No,No,1086282989
0,No,No,Yes,Yes,No,No,No,1086283010
0,No,No,Yes,Yes,No,No,No,1086283293
0,No,No,Yes,Yes,No,No,No,1086283798
0,No,Yes,Yes,Yes,No,No,No,1086283487
0,No,No,Yes,Yes,No,No,No,1086283502
0,No,Yes,Yes,Yes,No,No,No,1086283615
0,No,No,Yes,Yes,No,No,No,1086283748
0,No,Yes,Yes,Yes,No,No,No,1086283773
0,No,No,Yes,Yes,No,No,No,1086283956
0,No,Yes,Yes,Yes,No,No,No,1086284055
0,No,No,Yes,Yes,No,No,No,1086284116
0,No,No,Yes,Yes,No,No,No,1086284413
0,No,Yes,Yes,Yes,No,No,No,1086284441
0,No,No,Yes,Yes,No,No,No,1086284792
0,No,Yes,Yes,Yes,No,No,No,1086284805
0,No,No,Yes,Yes,No,No,No,1086284827
0,No,No,Yes,Yes,No,No,No,1086284979
0,No,No,Yes,Yes,No,No,No,1086284994
0,No,No,Yes,Yes,No,No,No,1086285053
0,No,No,Yes,Yes,No,No,No,1086285145
0,No,No,Yes,Yes,No,No,No,1086285281
0,No,No,Yes,Yes,No,No,No,1086285358
0,No,No,Yes,Yes,No,No,No,1086285380
0,No,No,Yes,Yes,No,No,No,1086285634
0,No,No,Yes,Yes,No,No,No,1086285480
0,No,No,Yes,Yes,No,No,No,1086285640
0,No,No,Yes,Yes,No,No,No,1086285678
0,No,No,Yes,Yes,No,No,No,1086285696
0,No,No,Yes,Yes,No,No,No,1086285764
0,No,No,Yes,Yes,No,No,No,1086285710
0,No,No,Yes,Yes,No,No,No,1086285757
0,No,No,Yes,Yes,No,No,No,1086285771
0,No,No,Yes,Yes,No,No,No,1086285815
0,No,No,Yes,Yes,No,No,No,1086285871
0,No,No,Yes,Yes,No,No,No,1086285884
0,No,No,Yes,Yes,No,No,No,1086285892
0,No,No,Yes,Yes,No,No,No,1086285929
0,No,No,Yes,Yes,No,No,No,1086285915
0,No,No,Yes,Yes,No,No,No,1086288150
0,No,Yes,No,Yes,No,No,No,1086486936
0,No,Yes,No,Yes,No,No,No,1086488192
0,No,No,No,Yes,No,No,No,1086496368
0,No,No,No,No,No,No,No,1086538766
0,No,No,Yes,Yes,No,No,No,1086286097
0,No,No,Yes,Yes,No,No,No,1086286187
0,No,No,Yes,Yes,No,No,No,1086286196
0,No,No,Yes,Yes,No,No,No,1086286306
0,No,No,Yes,Yes,No,No,No,1086286263
0,No,No,Yes,Yes,No,No,No,1086286312
0,No,No,Yes,Yes,No,No,No,1086286317
0,No,No,Yes,Yes,No,No,No,1086286378
0,No,No,Yes,Yes,No,No,No,1086286393
0,No,No,Yes,Yes,No,No,No,1086286422
0,No,No,Yes,Yes,No,No,No,1086286425
0,No,No,Yes,Yes,No,No,No,1086286455
